rowid,kepid,kepoi_name,koi_disposition,dec,koi_bin_oedp_sig,koi_count,koi_depth,koi_depth_err1,koi_depth_err2,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_msky,koi_dikco_msky_err,koi_dor,koi_dor_err1,koi_dor_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_eccen,koi_fpflag_co,koi_fpflag_ec,koi_fpflag_nt,koi_fpflag_ss,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_stat_sig,koi_gmag,koi_hmag,koi_imag,koi_impact,koi_impact_err1,koi_impact_err2,koi_incl,koi_insol,koi_insol_err1,koi_insol_err2,koi_jmag,koi_kepmag,koi_kmag,koi_ldm_coeff1,koi_ldm_coeff2,koi_ldm_coeff3,koi_ldm_coeff4,koi_max_mult_ev,koi_max_sngle_ev,koi_model_snr,koi_num_transits,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_quarters,koi_rmag,koi_ror,koi_ror_err1,koi_ror_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_sma,koi_smass,koi_smass_err1,koi_smass_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_tce_plnt_num,koi_teq,koi_time0,koi_time0_err1,koi_time0_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_zmag,ra,koi_prad_implausivel,koi_num_quarters
1969,11030475,K02248.02,CANDIDATE,48.51157,,4,197.4,23.8,-23.8,,,,,,,,,,,,,25.3,11.7,-11.7,2.713,0.242,-0.242,0.0,0,0,0,0,,,,,,,,,,,,,,16.163,13.628,15.213,0.3638,0.1021,-0.3637,89.38,58.01,45.41,-13.37,14.093,15.498,13.643,0.4707,0.2216,0.0,0.0,,,7.3,,9.4907638,0.0001004,-0.0001004,1.05,0.26,-0.08,,15.45,0.012848,0.000904,-0.000841,4.604,0.029,-0.148,0.082,0.821,0.098,-0.09,-0.22,0.36,-0.28,0.746,0.188,-0.055,3.38734,1.57309,-1.40276,5290.0,173.0,-142.0,,704.0,2454964.504,0.00884,-0.00884,131.50396,0.00884,-0.00884,15.092,292.23993,0,
7570,7375348,K00266.02,CANDIDATE,42.981422,0.8109,2,96.9,7.3,-7.3,0.89,0.47,-0.09,0.51,0.89,0.5,0.56,0.43,-0.22,0.51,0.6,0.54,32.3,16.1,-16.1,2.99,0.129,-0.129,0.0,0,0,0,0,5.6e-05,6.7e-05,-0.000112,6.6e-05,42.98121,0.00018,-0.78,0.66,19.693647,1.6e-05,1.0,0.65,0.022,12.453,10.425,,0.977,0.014,-0.692,88.26,25.84,11.59,-9.08,10.674,11.472,10.379,0.3729,0.2826,0.0,0.0,14.065318,4.680046,15.0,24.0,47.7439509,0.0003349,-0.0003349,1.74,0.28,-0.28,11111111111111111000000000000000,11.599,0.012349,0.000572,-0.003625,4.272,0.12,-0.12,0.2691,1.14,0.079,-0.099,0.18,0.15,-0.15,1.292,0.209,-0.209,0.27848,24.84736,-0.40714,5949.0,106.0,-118.0,2.0,575.0,2454993.159,0.00575,-0.00575,160.15905,0.00575,-0.00575,,295.40433,0,17.0
1176,12506770,K01577.01,CONFIRMED,51.40889,0.7165,1,599.6,30.1,-30.1,-0.05,0.28,-0.29,0.52,0.29,0.54,0.37,0.31,0.03,0.53,0.37,0.33,13.469,0.562,-0.562,1.6271,0.0701,-0.0701,0.0,0,0,0,0,0.00044,0.00032,0.00053,0.00037,51.40901,0.00015,0.42,0.52,19.286046,1.8e-05,0.12,0.61,0.007,17.156,13.453,15.488,0.043,0.41,-0.043,89.82,83.53,15.48,-14.77,14.092,15.988,13.387,0.6443,0.101,0.0,0.0,17.98488,3.7419364,22.4,472.0,2.806243488,7.519e-06,-7.519e-06,1.41,0.06,-0.08,11111111111111111000000000000000,15.934,0.022156,0.000981,-0.000681,4.684,0.023,-0.025,0.0328,0.595,0.028,-0.036,-0.22,0.15,-0.15,0.581,0.027,-0.03,5.86933,0.2451,-2.57501,4153.0,83.0,-91.0,1.0,771.0,2454966.731,0.00203,-0.00203,133.7314,0.00203,-0.00203,15.24,289.29065,0,17.0
7167,11348610,K05888.01,CANDIDATE,49.105068,,1,512.0,133.0,-133.0,-0.53,0.38,1.99,0.76,2.06,0.8,-0.52,0.33,2.04,0.82,2.1,0.82,469.0,228.0,-228.0,2.823,0.672,-0.672,0.0,0,0,0,0,0.0015,0.0012,0.0006,0.001,49.10437,0.0005,-2.5,1.8,19.391228,4.5e-05,-0.9,1.6,0.044,16.099,13.732,15.23,0.4668,0.0488,-0.4668,89.95,1.32,1.45,-0.3,14.15,15.491,13.728,0.4514,0.2333,0.0,0.0,,,6.2,,190.860818,0.004524,-0.004524,1.84,0.68,-0.14,,15.426,0.020979,0.004123,-0.001794,4.578,0.026,-0.24,0.6244,0.893,0.081,-0.089,-0.1,0.31,-0.26,0.803,0.295,-0.059,53.5553,337.77451,-50.52434,5463.0,164.0,-142.0,1.0,273.0,2455089.519,0.0104,-0.0104,256.5195,0.0104,-0.0104,15.108,290.8688,0,
7288,3645438,K04385.03,CANDIDATE,38.78775,0.1027,3,314.0,56.4,-56.4,1.12,0.94,-0.7,0.71,1.32,0.88,1.3,0.94,-0.53,0.71,1.41,0.91,32.3,14.4,-14.4,4.012,0.74,-0.74,0.0,0,0,0,0,0.0004,0.00069,-0.00108,0.00061,38.78746,0.00054,-1.1,1.9,19.426705,4.1e-05,3.3,1.7,0.026,16.549,13.903,15.514,0.28,0.182,-0.28,89.5,28.35,5.36,-4.99,14.351,15.825,13.896,0.5746,0.1496,0.0,0.0,8.176327,4.05849,8.6,62.0,17.3695112,0.0004896,-0.0004896,1.45,0.08,-0.09,11111111111111000000000000000,15.756,0.015932,0.00244,-0.000843,4.508,0.06,-0.04,0.1228,0.818,0.053,-0.035,0.1,0.15,-0.15,0.834,0.047,-0.052,2.11367,4.72404,-2.00903,5119.0,82.0,-82.0,3.0,588.0,2454969.616,0.0239,-0.0239,136.6159,0.0239,-0.0239,15.397,291.39938,0,14.0
7047,11506938,K05906.01,FALSE POSITIVE,49.493408,0.9238,1,1344.1,5.6,-5.6,0.6,0.28,-0.22,0.15,0.64,0.26,0.68,0.28,-0.3,0.16,0.75,0.26,1.938,0.215,-0.215,36.756,0.177,-0.177,0.0,0,0,0,1,0.0,0.0012,7e-05,0.00079,49.4934028,6.5e-06,-0.026,0.023,19.44309849,6.1e-07,-0.053,0.021,0.006,11.83,10.478,11.479,1.271,0.094,-0.099,49.01,129.25,77.42,-57.03,10.673,11.612,10.443,0.2931,0.31,0.0,0.0,98.11433,19.093843,302.6,62.0,22.57494749,8.218e-05,-8.218e-05,,10.35,-10.35,11111111111111111000000000000000,11.539,0.308725,0.088337,-0.097481,4.192,0.154,-0.126,0.1673,1.23,0.145,-0.177,-0.22,0.25,-0.3,1.468,0.307,-0.307,0.00027,3e-05,-3e-05,6581.0,149.0,-183.0,1.0,860.0,2454982.096,0.00288,-0.00288,149.09617,0.00288,-0.00288,11.508,291.64651,1,17.0
9441,11774383,K08065.01,FALSE POSITIVE,49.9702,0.9938,1,68633.0,714.0,-714.0,-1.225,0.071,-6.896,0.081,7.004,0.081,-0.628,0.072,-1.847,0.079,1.951,0.079,2.55,1.2,-1.2,1.7939,0.0287,-0.0287,0.0,0,0,0,1,0.001,0.061,0.001,0.039,49.9702787,4.6e-06,0.283,0.017,19.8030766,8.4e-07,4.223,0.029,0.0,19.534,,19.019,1.052,3.684,-0.228,65.67,6193.15,0.0,0.0,,19.174,,0.4035,0.2622,0.0,0.0,11.684912,4.1714263,122.3,1187.0,0.520227316,4.86e-07,-4.86e-07,,0.0,0.0,11111111000000000000000,19.123,0.461655,3.537741,-0.1575,4.438,,,0.0127,1.0,,,0.0,0.0,0.0,1.0,,,1.16312,15.36707,-0.18907,5780.0,,,1.0,2264.0,2454964.838,0.00104,-0.00104,131.83796,0.00104,-0.00104,,297.04431,1,8.0
8884,4950341,K06482.01,FALSE POSITIVE,40.005249,,1,270.0,31.0,-31.0,-0.7,1.2,1.43,0.7,1.59,0.82,-0.7,1.1,1.47,0.69,1.65,0.8,304.1,43.1,-43.1,15.22,1.3,-1.3,0.0,0,0,1,0,-0.00021,0.00036,-0.0006,0.00034,40.00549,0.00033,0.9,1.2,19.87776,2.7e-05,2.5,1.1,0.003,14.028,12.149,13.423,0.2171,0.2377,-0.217,89.95,0.51,0.56,-0.13,12.479,13.604,12.137,0.3407,0.2935,0.0,0.0,7.9523144,6.770651,12.2,3.0,611.09299,0.03092,-0.03092,1.53,0.59,-0.13,11111111111111111000000000000000,13.542,0.0151,0.001022,-0.000979,4.508,0.039,-0.039,1.4167,1.014,0.117,-0.128,-0.18,0.25,-0.3,0.929,0.354,-0.081,1.42399,0.20165,-0.85558,6032.0,146.0,-177.0,1.0,215.0,2454967.31,0.0382,-0.0382,134.3101,0.0382,-0.0382,13.359,298.16547,0,17.0
33,10910878,K00757.02,CONFIRMED,48.37579,0.1551,3,2213.9,45.5,-45.5,0.0,0.13,0.12,0.19,0.12,0.19,0.03,0.16,0.07,0.2,0.08,0.16,70.75,2.1,-2.1,4.6297,0.0633,-0.0633,0.0,0,0,0,0,0.00012,0.00079,0.00111,0.00073,48.37579,8e-05,0.0,0.29,19.1332861,8.4e-06,-0.43,0.3,0.123,16.559,13.868,15.534,0.045,0.337,-0.045,89.96,8.76,1.27,-1.9,14.363,15.841,13.785,0.582,0.1451,0.0,0.0,37.877567,11.918161,51.2,26.0,41.19725502,9.345e-05,-9.345e-05,3.86,0.15,-0.33,11111110111011101000000000000000,15.77,0.041693,0.00118,-0.000613,4.485,0.083,-0.028,0.217,0.801,0.052,-0.03,0.16,0.15,-0.15,0.848,0.033,-0.072,3.9471,0.11711,-0.98055,5031.0,75.0,-83.0,2.0,439.0,2454998.004,0.00171,-0.00171,165.00404,0.00171,-0.00171,15.368,286.99948,0,14.0
6427,5027859,K05117.01,CANDIDATE,40.108009,0.4449,1,618.4,73.2,-73.2,0.59,0.82,-0.13,0.7,0.6,0.81,0.54,0.86,-0.23,0.67,0.59,0.84,71.1,35.0,-35.0,3.663,0.416,-0.416,0.0,0,0,0,0,-0.00174,0.0008,-0.00017,0.00085,40.10902,0.00047,3.7,1.7,19.734593,4.4e-05,0.2,1.8,0.0,16.629,14.058,15.711,0.038,0.427,-0.038,89.97,13.7,9.31,-3.42,14.629,15.986,14.106,0.4341,0.2434,0.0,0.0,8.500976,3.304525,10.1,30.0,33.3726538,0.0005484,-0.0005484,1.95,0.43,-0.15,1111011101110111000000000000000,15.932,0.022464,0.001601,-0.001687,4.583,0.036,-0.144,0.1949,0.892,0.083,-0.102,-0.16,0.3,-0.3,0.796,0.176,-0.063,6.11103,21.07268,-2.65154,5504.0,166.0,-166.0,1.0,491.0,2454986.597,0.0152,-0.0152,153.5967,0.0152,-0.0152,15.568,296.01883,0,13.0
